X,Y,OBS,RTO09,RTO11,RTO13,ALT,IV1101,XCOORD,YCOORD
317465.5,6276705.5,1.00,3464.57167,2992.33400,2688.00,504.79100,0.48157,317465.500000,6276705.500000
317474.5,6276705.5,2.00,2895.32938,3365.35360,2824.00,504.86910,0.48095,317474.500000,6276705.500000
317483.5,6276705.5,3.00,2249.32602,3300.19073,2382.00,504.92910,0.48165,317483.500000,6276705.500000
317492.5,6276705.5,4.00,3417.81573,3311.04445,2426.00,504.97400,0.48205,317492.500000,6276705.500000
317501.5,6276705.5,5.00,3329.66617,3497.14182,2467.00,505.03255,0.48447,317501.500000,6276705.500000
317510.5,6276705.5,6.00,3087.85628,3653.53216,2296.00,505.09590,0.48975,317510.500000,6276705.500000
317519.5,6276705.5,7.00,3173.52529,2985.15089,2337.00,505.12350,0.49490,317519.500000,6276705.500000
317528.5,6276705.5,8.00,2975.98845,3248.87435,2385.00,505.13140,0.49773,317528.500000,6276705.500000
317537.5,6276705.5,9.00,2725.54407,3393.38767,2155.00,505.11640,0.48764,317537.500000,6276705.500000
317546.5,6276705.5,10.00,2892.45859,2930.93170,2196.00,505.08040,0.47753,317546.500000,6276705.500000
317555.5,6276705.5,11.00,2387.60729,2844.09637,1811.00,505.03140,0.46692,317555.500000,6276705.500000
317564.5,6276705.5,12.00,1498.61318,2406.13661,1703.00,504.96450,0.45144,317564.500000,6276705.500000
317573.5,6276705.5,13.00,2928.80992,2636.62533,1739.00,504.88180,0.43390,317573.500000,6276705.500000
317582.5,6276705.5,14.00,2578.33604,2754.50313,1733.00,504.78880,0.41576,317582.500000,6276705.500000
317591.5,6276705.5,15.00,3127.31285,3320.84054,2523.00,504.69620,0.40278,317591.500000,6276705.500000
317600.5,6276705.5,16.00,3327.42454,2939.29584,3585.00,504.62200,0.40579,317600.500000,6276705.500000
317609.5,6276705.5,17.00,3482.89825,3226.82172,3365.00,504.55680,0.40771,317609.500000,6276705.500000
317618.5,6276705.5,18.00,3461.18966,3105.83608,3549.00,504.49790,0.41061,317618.500000,6276705.500000
317627.5,6276705.5,19.00,3622.23920,3316.45976,2894.00,504.42185,0.42029,317627.500000,6276705.500000
317636.5,6276705.5,20.00,3489.35519,2976.28866,2265.00,504.34530,0.42976,317636.500000,6276705.500000
317645.5,6276705.5,21.00,3643.81844,3113.44472,5632.00,504.26950,0.43733,317645.500000,6276705.500000
317654.5,6276705.5,22.00,3039.66827,3024.94645,2840.00,504.18000,0.43694,317654.500000,6276705.500000
317663.5,6276705.5,23.00,2497.49096,2523.64344,2393.00,504.08880,0.42956,317663.500000,6276705.500000
317672.5,6276705.5,24.00,2820.17956,2800.61051,2958.00,504.01010,0.42186,317672.500000,6276705.500000
317681.5,6276705.5,25.00,3109.97926,2661.48425,2592.00,503.96610,0.41888,317681.500000,6276705.500000
317690.5,6276705.5,26.00,3084.29231,2596.89767,2423.00,503.92280,0.42099,317690.500000,6276705.500000
317699.5,6276705.5,27.00,2768.07648,2546.41489,2230.00,503.87030,0.42200,317699.500000,6276705.500000
317708.5,6276705.5,28.00,3016.91659,2358.59069,2850.00,503.80790,0.42236,317708.500000,6276705.500000
317717.5,6276705.5,29.00,3178.62922,2402.19033,2664.00,503.73660,0.42372,317717.500000,6276705.500000
317726.5,6276705.5,30.00,2914.48707,2902.85871,2639.00,503.66420,0.42421,317726.500000,6276705.500000
317735.5,6276705.5,31.00,3075.29909,3121.31149,2069.00,503.63010,0.42314,317735.500000,6276705.500000
317744.5,6276705.5,32.00,3260.83111,3287.61113,2759.00,503.59530,0.42155,317744.500000,6276705.500000
317753.5,6276705.5,33.00,3654.32053,3255.88849,3076.00,503.53170,0.41931,317753.500000,6276705.500000
317762.5,6276705.5,34.00,3507.25807,3105.07452,3391.00,503.46370,0.41496,317762.500000,6276705.500000
317771.5,6276705.5,35.00,3565.46817,3213.28726,3452.00,503.42830,0.40980,317771.500000,6276705.500000
317780.5,6276705.5,36.00,3552.29762,3147.60588,3491.00,503.42050,0.40365,317780.500000,6276705.500000
317789.5,6276705.5,37.00,3073.73168,3239.70510,3522.00,503.41780,0.39423,317789.500000,6276705.500000
317798.5,6276705.5,38.00,2774.68929,2989.95848,3221.00,503.39980,0.38753,317798.500000,6276705.500000
317807.5,6276705.5,39.00,2616.70248,2671.85203,3382.00,503.33890,0.38812,317807.500000,6276705.500000
317816.5,6276705.5,40.00,2718.83823,3554.52031,3703.00,503.25730,0.38726,317816.500000,6276705.500000
317825.5,6276705.5,41.00,3114.72453,2237.39069,3651.00,503.17540,0.38404,317825.500000,6276705.500000
317834.5,6276705.5,42.00,2328.38957,2896.22674,3127.00,503.10730,0.38894,317834.500000,6276705.500000
317843.5,6276705.5,43.00,2467.42069,2722.90364,2798.00,503.05850,0.40079,317843.500000,6276705.500000
316988.5,6276696.5,44.00,3913.08615,2841.68559,4567.00,501.52160,0.56582,316988.500000,6276696.500000
316997.5,6276696.5,45.00,3435.79365,2836.02285,4813.00,501.59005,0.56598,316997.500000,6276696.500000
317006.5,6276696.5,46.00,3299.73735,3297.33525,4670.00,501.64000,0.56609,317006.500000,6276696.500000
317015.5,6276696.5,47.00,4127.65085,3621.19050,4905.00,501.67220,0.56609,317015.500000,6276696.500000
317024.5,6276696.5,48.00,3990.52091,3368.50238,4347.00,501.70710,0.56224,317024.500000,6276696.500000
317033.5,6276696.5,49.00,4217.44951,3382.69426,4771.00,501.74420,0.55607,317033.500000,6276696.500000
317042.5,6276696.5,50.00,3868.68535,3537.29327,4970.00,501.78280,0.55093,317042.500000,6276696.500000
317051.5,6276696.5,51.00,4059.93181,4091.46924,5275.00,501.82410,0.54971,317051.500000,6276696.500000
317060.5,6276696.5,52.00,3855.49247,3782.13148,5309.00,501.86995,0.55305,317060.500000,6276696.500000
317069.5,6276696.5,53.00,3722.61094,3305.78790,5135.00,501.92350,0.55610,317069.500000,6276696.500000
317078.5,6276696.5,54.00,3795.04237,3704.99328,5390.00,501.99060,0.55877,317078.500000,6276696.500000
317087.5,6276696.5,55.00,3819.28291,3982.95487,5106.00,502.07900,0.56229,317087.500000,6276696.500000
317096.5,6276696.5,56.00,3915.09360,3733.75964,5182.00,502.18180,0.56529,317096.500000,6276696.500000
